"DOMAIN 1: Ease of Regulatory Clarity, Predictability & Accessibility",,Andhra Pradesh (Response),Andhra Pradesh (Score),Arunachal Pradesh (Response),Arunachal Pradesh (Score),Assam (Response),Assam (Score),Bihar (Response),Bihar (Score),Chhatisgarh (Response),Chhatisgarh (Score),Delhi (Response),Delhi (Score),Goa (Response),Goa (Score),Gujarat (Response),Gujarat (Score),Haryana (Response),Haryana (Score),Himachal Pradesh (Response),Himachal Pradesh (Score),Jammu and Kashmir (Response),Jammu and Kashmir (Score),Jharkhand (Response),Jharkhand (Score),Karnataka (Response),Karnataka (Score),Kerala (Response),Kerala (Score),Madhya Pradesh (Response),Madhya Pradesh (Score),Maharashtra (Response),Maharashtra (Score),Manipur (Response),Manipur (Score),Meghalaya (Response),Meghalaya (Score),Mizoram (Response),Mizoram (Score),Nagaland (Response),Nagaland (Score),Odisha (Response),Odisha (Score),Punjab (Response),Punjab (Score),Rajasthan (Response),Rajasthan (Score),Sikkim (Response),Sikkim (Score),Tamil Nadu (Response),Tamil Nadu (Score),Telangana (Response),Telangana (Score),Tripura (Response),Tripura (Score),Uttar Pradesh (Response),Uttar Pradesh (Score),Uttarakhand (Response),Uttarakhand (Score),West Bengal (Response),West Bengal (Score)
"Authority empowered to order takeover and procedure involved (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned ,,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0
"Requirement to provide prior notice  (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned ,,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0
"Existence of Opportunity for the school to be heard  (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned ,,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0
"Requirement of a reasoned/written order  (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned ,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0
"Option to restore management after a period of time (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned ,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
Take over recognition of schools - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If reasons have to be recorded in writing before taking actions against the school (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned ,,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Yes,1,yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1
"If the authority empowered to withdraw recognition is specified (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Maybe,0.5,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,yes,1,Yes,1,Yes,1,Yes,1,Yes,1
"Existence of procedure to withdraw recognition  (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned ,,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,yes,1,Yes,1,Yes,1,Yes,1,Yes,1
"Requirement to provide prior notice   (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned ,,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,yes,1,Yes,1,Yes,1,Yes,1,Yes,1
"Existence of Opportunity for the school to be heard  (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,yes,1,Yes,1,Yes,1,Yes,1,Yes,1
"Requirement of a reasoned/written order to withdraw recognition  (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Yes,1,Maybe,0.5,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned ,,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1
Appeal Procedures - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Availability and process of appeal against withdrawal of permission to establish (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not mentioned,0,Not Mentioned,0,No,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned ,,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Availability and process of appeal against takeover of property (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned ,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Availability and process of appeal against withdrawal of management of school (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Yes,1,Not Mentioned,0,No,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,No,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Availability and process of appeal against withdrawal of recognition (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Yes,1,Not mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Parent Grievance Redressal ,,,0,,0,,0.25,,0.5,,0.25,,0.5,,0,,0.5,,0.5,,0,,0,,0.5,,0,,0,,0.5,,0.5,,0,,0,,0,,0,,0,,0.5,,0.25,,0,,0.5,,0,,0,,0.25,,0,,0
"If schools are provided an opportunity to hear in fee related complaints (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Imposition of monetary penalties by Fee Regulatory Committee (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0
"Any other penalty for schools if they are in violation (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0
"Are schools provided with an opportunity to appeal (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,No,0,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,,,Not Mentioned,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOMAIN 4 Ease of Financial Mobiliation,,,0.1590909091,,0,,0.09090909091,,0.09090909091,,0.0303030303,,0.08060606061,,0,,0.01,,0.06060606061,,0.06060606061,,0.1060606061,,0.04545454545,,0.1136363636,,0.0303030303,,0.0303030303,,0.07575757576,,0,,0.06060606061,,0.0303030303,,0,,0,,0.0303030303,,0.07060606061,,0,,0.0403030303,,0.0303030303,,0,,0.09090909091,,0,,0.01515151515
1. Fee Collection and Utilization of Funds ,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Existence of Factors that determine fees leviable by private schools (Yes/No/May/Not Mentioned),"Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,,,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned ,,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0
"Prohibited actions against students/parents for non-payment of fees (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentiioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentiioned,0,Not Mentioned,0,Not Mentiioned,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,,
Existence of provisions for regulating the revenues/savings used by the School (Yes/No/Maybe/Not Mentioned),"Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Mechanism for Fee Approvals,,,0.2272727273,,0,,0.2727272727,,0.2727272727,,0.09090909091,,0.2418181818,,0,,0.03,,0.1818181818,,0.1818181818,,0.3181818182,,0.1363636364,,0.09090909091,,0.09090909091,,0.09090909091,,0.2272727273,,0,,0.1818181818,,0.09090909091,,0,,0,,0.09090909091,,0.2118181818,,0,,0.1209090909,,0.09090909091,,0,,0.2727272727,,0,,0.04545454545
"Existence of fee regulation framework for private unaided schools (Yes, No, Not Mentioned, Maybe)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Maybe,0.5
"Components of fee structure (Entry fees for admission, re-admission fees, development fees, monthly tuition fees, annual fees and costs of books, teaching materials, uniform, transportation/Not Mentioned)

1. Admission & One-time Fees (Entry fees for admission
Re-admission fees, Development fees)=

2. Recurring School Fees (Monthly tuition fees,
Annual fees)=

3. Additional / Ancillary Costs (Costs of books
Teaching materials, Uniform, Transportation)=

4. Not Mentioned =","1. Admission & One-time Fees (Entry fees for admission
Re-admission fees, Development fees)=

2. Recurring School Fees (Monthly tuition fees,
Annual fees)=

3. Additional / Ancillary Costs (Costs of books
Teaching materials, Uniform, Transportation)=

4. Not Mentioned/Discretion = 0 

5. Absence of fee regulation framework =1
[1- (Number of Components Present÷ Maximum Number of Components]",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,"Admission & One-time Fees, Recurring School Fees.",0.33,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,"Admission & One-time Fees, Recurring School Fees, Additional / Ancillary Costs",0,"Admission & One-time Fees, Recurring School Fees, Additional / Ancillary Costs                                                                                                                                                                   ",0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Discretion,0,Not Mentioned,0,"Admission & One-time Fees, Recurring School Fees, Additional / Ancillary Costs",0,Not Mentioned,0,Not Mentioned,0
"Requirement to take prior approval for fee hikes (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Yes,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0
"Requirement to produce proposals from the fee regulatory committee (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Maybe,0.5,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Maybe,0.5,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0
"If the extent to which fee hikes are specified. (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Maybe,0.5,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,No,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0
Time within which fee caps can be revisited (Annually/In 2 years/In 3 years/Not Mentioned),"Annually=1, In 2 Years=0.66, In 3 Years=0.33, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Annually,1,Annually,1,Not Mentioned,0,In 3 Years,0.33,Not Mentioned,0,In 3 years,0.33,Annually,1,Annually,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Annually ,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Annually ,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,In 3 years,0.33,Not Mentioned,0,In 3 years,0.33,Not Mentioned,0,Not Mentioned,0,Annually,1,Not Mentioned,0,Not Mentioned,0
"Existence of a fee regulation body (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Yes,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,No,1,No,1,Yes,0,Yes,0,Not Mentioned,0,No,1,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0
"If fee caps can be revisited from time to time (Yes, No, Maybe, Not mentioned) - ","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Maybe,0.5,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0
"If the Fee Regulatory Committee has powers to inspect and audit fee structures (Yes, No, Maybe, Not Mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Maybe,0.5,not mentioned,0,,,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
" If there is a representation from the Pvt. School in the fee regulatory body (Yes, No, Maybe, Not Mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned,0,No,0,No ,0,No,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,No,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,No ,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0
"If there is a deemed approval in case of time lapse (Yes, No, Maybe, Not Mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Maybe,0.5,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Regulation on Capitation Fees,,,0.25,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.25,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
"If collection of capitation fees is prohibited (Yes, No, Maybe, Not mentioned) - Yes will have a higher score","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0
"Existence of monetary penalty for charging capitation fees (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned ,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0
"If schools are penalised for charging capitation fees (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentiioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned ,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"If collection of capitation fees is allowed under certain circumstances (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",No,1,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentiioned,0,Not Mentioned,0,No,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned ,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
